"Origin","Destination","YEAR","MS_ALL_TOT","MS_MAL_TOT","MS_MAL_LOW","MS_MAL_MED","MS_MAL_HIG","MS_FEM_TOT","MS_FEM_LOW","MS_FEM_MED","MS_FEM_HIG","MR_ALL_TOT","MR_MAL_TOT","MR_MAL_LOW","MR_MAL_MED","MR_MAL_HIG","MR_FEM_TOT","MR_FEM_LOW","MR_FEM_MED","MR_FEM_HIG","NS_ALL_TOT","NS_MAL_TOT","NS_MAL_LOW","NS_MAL_MED","NS_MAL_HIG","NS_FEM_TOT","NS_FEM_LOW","NS_FEM_MED","NS_FEM_HIG","RS_ALL_TOT","RS_MAL_TOT","RS_MAL_LOW","RS_MAL_MED","RS_MAL_HIG","RS_FEM_TOT","RS_FEM_LOW","RS_FEM_MED","RS_FEM_HIG"
"Afghanistan","Oecd",1990,47843.9068162868,27745.8555957195,10800.587097867,4445.62551493076,12499.6429829217,20098.0512205674,10270.6006280664,3500.30765142194,6327.14294107903,0.00910743875822901,0.0102223676961323,0.00439852680926471,0.0333263136609734,0.0997322780842964,0.00791558521742267,0.00412236123370251,0.133748297363566,0.295097676824856,5253277.90681629,2714229.85559572,2455501.02709787,133396.857514931,125331.970982922,2539048.05122057,2491436.35062807,26170.8576514219,21440.842941079,5205434,2686484,2444700.44,128951.232,112832.328,2518950,2481165.75,22670.55,15113.7
"Albania","Oecd",1990,303885.514060873,180445.578562751,99514.9823552637,64079.4413267181,16851.1548807693,123439.935498122,66429.7080840118,45167.585032289,11842.6423818213,0.162180090273603,0.184638614677042,0.202118510441087,0.172413398031543,0.148770584981533,0.137696641556667,0.113231005465217,0.191931952809563,0.159052365790281,1873753.51406087,977290.578562751,492359.567355264,371661.611326718,113269.399880769,896462.935498122,586674.187084012,235331.243032289,74457.5053818213,1569868,796845,392844.585,307582.17,96418.245,773023,520244.479,190163.658,62614.863
"Algeria","Oecd",1990,506580.534375494,314938.972812063,280376.754637547,14662.4380047413,19899.7801697755,191641.561563431,173871.111398602,8861.0112878407,8909.43887698785,0.0519394381528136,0.0646434295016267,0.0688581433505221,0.0269889962007861,0.0774720830610138,0.0392599383892871,0.0391055804482697,0.025922243124111,0.0954675965595975,9753292.53437549,4871940.97281206,4071802.41863755,543274.670004741,256863.884169776,4881351.56156343,4446196.9213986,341830.421287841,93324.2188769878,9246712,4557002,3791425.664,528612.232,236964.104,4689710,4272325.81,332969.41,84414.78
"Andorra","Oecd",1990,1245.18656818698,574.781846224106,331.202185005788,123.288633042553,120.291028175765,670.404721962878,331.440136019619,151.828047858824,187.136538084436,0.0341329618362765,0.0330590936142658,0.0253815278036399,0.0505891834016677,0.0632945359863594,0.0351107994646502,0.0220411717786003,0.0657429565399469,0.107104303506826,36480.4722824727,17386.4974318617,13048.9459723654,2437.05521126259,1900.49624823363,19093.974850611,15037.3192200885,2309.41922678165,1747.23640374085,35235.2857142857,16811.7155856376,12717.7437873597,2313.76657822003,1780.20522005787,18423.5701286481,14705.8790840689,2157.59117892282,1560.09986565642
"Angola","Oecd",1990,16652.5266968488,10244.1065511982,5918.84015703925,2304.16660338436,2021.09979077461,6408.42014565053,3551.66896717977,1515.3885627276,1341.36261574317,0.00466960584893243,0.00595269153530194,0.00540227735587053,0.00446970992180037,0.0184081601724324,0.00347296095369097,0.00237012481704557,0.00471392341007701,0.0531315317790714,3566152.52669685,1720920.1065512,1095619.45215704,515506.966603384,109793.687790775,1845232.42014565,1498515.58096718,321470.764562728,25246.0746157432,3549500,1710676,1089700.612,513202.8,107772.588,1838824,1494963.912,319955.376,23904.712
"Antigua and Barbuda","Oecd",1990,12993.4872167272,6497.40410297389,2605.86352255836,1846.03792633845,2045.50265407707,6496.08311375327,1820.0675078314,2404.14720294,2271.86840298187,0.327801429604758,0.336881581448093,0.297989198260771,0.252634252286383,0.632318118383236,0.319196211590559,0.201056180065883,0.296349899892321,0.713007441971659,39638.2872167272,19286.9081029739,8744.82544255836,7307.15613433845,3234.92652607707,20351.3791137533,9052.5320198314,8112.52915494,3186.31793898187,26644.8,12789.504,6138.96192,5461.118208,1189.423872,13855.296,7232.464512,5708.381952,914.449536
"Argentina","Oecd",1990,160759.4756372,78523.8171113776,18752.78709629,21190.3198678257,38580.710147262,82235.6585258226,23355.0840688607,23847.9208389779,35032.653617984,0.00920836557545566,0.0094188959189432,0.00367278629643858,0.00969866903869658,0.0368806895918003,0.00901593820034755,0.00403987600070557,0.0106540977813133,0.03180092645624,17457981.4756372,8336838.81711138,5105874.82709629,2184868.84986783,1046095.14014726,9121142.65852582,5781138.84306886,2238380.13583898,1101623.67961798,17297222,8258315,5087122.04,2163678.53,1007514.43,9038907,5757783.759,2214532.215,1066591.026
"Armenia","Oecd",1990,36665.715481564,17553.6250345325,2790.41542992194,3658.35141670824,11104.8581879024,19112.0904470315,3177.35992473367,3291.55129120186,12643.1792310959,0.0188647715223128,0.0193687772578771,0.0131765521295875,0.00662864171699668,0.077867232573603,0.0184244336437119,0.00638472933325939,0.00779914932060814,0.107479497043649,1943607.71548156,906284.625034532,211771.289065533,551900.611452232,142612.724516768,1037323.09044703,497649.901646126,422039.783557472,117633.405243433,1906942,888731,208980.873635611,548242.260035523,131507.866328866,1018211,494472.541721392,418748.23226627,104990.226012337
"Australia","Oecd",1990,138095.864535805,60130.6233720954,15450.8493702999,10968.4854377606,33711.288564035,77965.2411637094,23077.460277018,19337.3720759797,35550.4088107117,0.0130486395562525,0.0115732503712533,0.010866566305961,0.00636939386254447,0.0164307125232775,0.0144714897159671,0.0123210447080141,0.00859198006753832,0.0281283470356371,10583161.8645358,5195655.62337209,1421870.43590984,1722061.10572958,2051724.08173267,5387506.24116371,1873011.64989748,2250630.46282416,1263864.12844208,10445066,5135525,1406419.58653954,1711092.62029182,2018012.79316864,5309541,1849934.18962046,2231293.09074818,1228313.71963136
"Austria","Oecd",1990,381189.493138741,171804.241609361,67884.0633290636,38543.2264018191,65376.9518784786,209385.25152938,95492.2703374101,61556.7638768936,52336.2173150761,0.0681809857282905,0.0662826990186855,0.0805483559290852,0.0286048006572378,0.162718640723178,0.0698217266147127,0.06404811581528,0.0510247534869062,0.173586351134639,5590847.49313874,2591992.24160936,842774.039842958,1347439.08421773,401779.117548676,2998855.25152938,1490945.81662352,1206409.82406098,301499.610844879,5209658,2420188,774889.976513894,1308895.85781591,336402.165670197,2789470,1395453.54628611,1144853.06018409,249163.393529803
"Azerbaijan","Oecd",1990,9876.04935199294,4964.38037550628,3354.04695619059,656.607771006204,953.725648309483,4911.66897648666,3261.66314128855,842.069693333353,807.936141864755,0.00293330018899695,0.0031650387927377,0.0090402340640682,0.000680297718131614,0.00410531231007741,0.0027311817606697,0.00373096021823851,0.00114037206126798,0.00434992684914298,3366873.04935199,1568505.38037551,371013.287091954,965177.088656901,232315.004626652,1798367.66897649,874215.470147382,738416.6290404,185735.569788705,3356997,1563541,367659.240135763,964520.480885895,231361.278978342,1793456,870953.807006093,737574.559347067,184927.63364684
"Bahamas, The","Oecd",1990,14077.2481102187,6256.71857541591,2627.64079365756,1281.87101307793,2347.20676868042,7820.52953480275,2839.20879661496,2004.62728178091,2976.69345640688,0.106719999028841,0.09949347351279,0.0881475849928198,0.0503435769552904,0.308287114917163,0.113304012291515,0.0816177633765108,0.0736457837711504,0.424270618016163,131908.248110219,62885.7185754159,29809.5607936576,25462.4540130779,7613.70376868042,69022.5295348028,34786.652796615,27219.8512817809,7016.02545640688,117831,56629,27181.92,24180.583,5266.497,61202,31947.444,25215.224,4039.332
"Bahrain","Oecd",1990,2296.08548431012,1229.33219501546,323.142664432448,224.405673778176,681.783856804832,1066.75328929466,350.212004516408,238.71064223237,477.830642545883,0.00882383242258637,0.00741891908659833,0.00302280343208186,0.00542794530542232,0.0390527374736437,0.0112869907939322,0.00579482077748699,0.00999613429451054,0.0468640111212615,260214.08548431,165702.332195015,106901.646664432,41342.6556737782,17458.0298568048,94511.7532892947,60435.3470045164,23880.2956422324,10196.1106425459,257918,164473,106578.504,41118.25,16776.246,93445,60085.135,23641.585,9718.28
"Bangladesh","Oecd",1990,110880.18332669,69444.9252970322,29390.2940000189,14718.2936105416,25336.3376864718,41435.2580296576,22055.0992118047,10157.7617950449,9222.39702280809,0.00274258540547012,0.00332908576844029,0.00189898833572233,0.00322214006530188,0.0310730554469356,0.00211739127994385,0.00120008298566446,0.00971923575039733,0.0632037077896309,40429072.1833267,20860058.925297,15476816.496,4567862.75961054,815379.669686472,19569013.2580297,18377978.4192118,1045119.39579504,145915.443022808,40318192,20790614,15447426.202,4553144.466,790043.332,19527578,18355923.32,1034961.634,136693.046
"Barbados","Oecd",1990,68738.5447627256,34205.6742152531,13657.4884850485,8543.39785942239,12004.7878707822,34532.8705474725,11893.5067395759,9857.24140718893,12782.1224007076,0.32107830428535,0.338778470249102,0.298829709873171,0.23058623155916,0.659109257041495,0.305279485026153,0.224764568025085,0.233392154170443,0.711350982723711,214086.544762726,100967.674215253,45703.2484850485,37050.7718594224,18213.6538707822,113118.870547473,52915.3987395759,42234.6734071889,17968.7984007076,145348,66762,32045.76,28507.374,6208.866,78586,41021.892,32377.432,5186.676
